STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-09,69,48
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-10,69,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-11,68,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-12,75,48
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-13,76,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-14,86,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-15,79,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-16,71,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-17,70,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-18,74,45
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-19,79,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-20,71,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-21,72,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-22,68,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-23,65,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-24,66,48
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-25,77,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-26,84,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-27,73,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-28,81,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-29,82,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-30,74,48
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-03-31,66,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-01,65,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-02,69,43
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-03,73,42
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-04,66,41
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-05,60,44
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-06,64,40
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-07,60,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-08,64,45
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-09,68,44
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-10,70,44
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-11,70,44
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-12,77,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-13,64,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-14,64,48
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-15,73,44
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-16,81,48
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-17,82,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-18,73,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-19,70,50
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-20,71,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-21,66,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-22,67,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-23,71,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-24,64,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-25,63,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-26,73,50
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-27,86,50
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-28,72,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-29,75,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-04-30,89,50
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-01,84,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-02,74,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-03,71,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-04,64,50
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-05,67,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-06,72,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-07,67,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-08,74,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-09,73,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-10,70,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-11,62,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-12,63,50
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-13,67,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-14,64,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-15,63,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-16,66,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-17,63,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-18,61,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-19,66,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-20,63,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-21,68,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-22,66,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-23,64,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-24,70,48
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-25,68,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-26,71,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-27,71,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-28,71,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-29,71,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-30,78,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-05-31,75,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-01,74,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-02,72,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-03,65,50
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-04,77,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-05,82,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-06,80,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-07,79,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-08,80,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-09,82,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-06-10,71,62
